Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
03-01-2000,29.84704309,35.47663394,3.530575672,26.65021781,14.56088718,21.58204618,43.00387617,16.98358301,23.52222015,,23.86223975,72.31657025,45.14338244,81.44976061,28.52512318,28.5847966,26.86251005,24.39358541,32.89698599,38.13510112,4.701180242,16.74685636,32.22772612,20.15888452,21.31903013,5.841354666,22.56422141,,47.33759918,21.71323722
04-01-2000,28.66113069,34.13427482,3.232839078,26.61043147,14.37225138,21.58204618,40.57720045,17.04094978,24.89986022,,23.40516709,67.76351703,40.51062851,78.68327737,27.19395076,27.53678041,26.28006507,23.88884809,31.73929227,36.84604571,4.445214069,16.12173844,31.59639939,19.89009939,20.44580266,5.766367973,21.83391461,,45.56624762,20.90735377
05-01-2000,30.12217476,33.95942972,3.280148918,28.47375846,14.91420503,22.04914535,40.89545301,17.2281466,25.78154987,,24.56917879,65.25769996,42.76121899,81.44976061,27.74805948,27.96466867,26.11692697,24.39358541,33.19857007,37.2353797,4.702157212,16.41591158,31.3258308,20.08557949,20.25478415,5.753326809,22.56422141,,44.50343668,21.09742062
06-01-2000,31.8773251,33.95942972,2.996289877,28.55333115,15.45915289,22.90334328,39.78156907,17.21003078,24.89986022,,25.95867966,67.35406979,41.54936258,80.0454544,25.8201546,28.69952026,26.48769538,23.93193542,33.26180544,35.98885658,4.677732959,16.9727393,32.43816836,20.122232,20.99839192,5.964158959,22.44940514,,45.12695243,20.52722006
07-01-2000,32.50981171,34.43391277,3.138219398,29.38221326,15.96218169,23.30592599,42.12868165,18.34226965,24.50624878,,25.88250088,67.60792708,43.9730754,79.69437784,26.88574828,29.92117227,26.973402,24.54746874,36.45275958,36.45998343,4.677732959,18.12316638,35.02360161,20.92247863,21.83068686,6.662947992,22.28269225,,48.53503284,21.05180458
10-01-2000,32.35169006,34.93099025,3.083024584,28.97108773,15.43819336,22.678826,43.68016284,17.75652474,28.24555753,,25.51988991,69.098315,43.75840369,82.85406683,28.11527945,29.16461621,26.50994149,24.65826474,35.38748678,36.72499228,4.756867539,18.09164783,34.84322255,20.54373595,22.04558268,6.547751044,22.16523545,,47.64935706,21.66762118
11-01-2000,31.78245211,35.24731229,2.925325117,28.51354481,15.19566162,22.46721201,42.36737106,18.36038547,28.53683001,,25.82460501,69.45043962,42.62964601,83.55621994,29.40710687,29.16461621,25.88334287,25.23686606,35.41667234,35.78273858,4.995248249,18.06012928,35.41442292,20.31160334,21.53392596,6.561878971,21.95684435,,46.94081643,22.52672335
12-01-2000,31.8773251,35.06655684,2.749963309,28.55333115,15.45915289,22.3872116,41.2932687,18.56871742,26.52153939,,25.44371114,69.098315,42.28340132,83.90729649,29.91859184,28.99098039,26.04648097,26.31404936,36.20954661,34.61800832,4.824278478,18.45411116,35.1739175,20.34825586,22.02170537,6.499933443,21.21800317,,46.09765309,22.99808915
13-01-2000,31.8773251,35.24731229,3.051484691,28.10241928,15.62682916,22.59624493,42.24802635,18.28490288,27.40322904,,26.03485844,69.19658234,43.02436495,83.02960511,29.85629559,28.95377271,26.43949549,26.0432147,36.36033865,35.27235116,4.884850625,19.43643931,34.57265395,20.76975981,22.25706746,6.704245011,21.05129028,,46.14725093,22.9524731
14-01-2000,31.40612258,36.03811737,3.167866898,29.1766505,15.55197368,22.45172806,42.80496832,18.43586806,26.41920041,,25.51988991,70.12193309,42.89279197,83.99155487,33.80391034,29.04989254,27.39237031,26.2278747,36.05875457,36.72499228,5.012833712,19.43643931,35.1739175,20.76975981,21.765877,6.696637665,21.33545997,,45.70087034,22.38227254
